asset_path	sha256	source_scope	reason_code	reason
/images/assessment/objective-words/fan.webp	c8e392467fefd3cac1d23227a40d4658b2a3ef609876179bcd1a66b6af19c5e2	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct iPad-sized review confirmed basic flat icon treatment; replaced with a professionally rendered isolated raster fan.
/images/assessment/objective-words/tie.webp	7b6d11d14f9823a98c1d2fd67cc92e2905710dbd20360488a75277ca74f510d3	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct iPad-sized review confirmed basic flat icon treatment; replaced with a professionally rendered isolated raster necktie.
/images/assessment/objective-words/clock.webp	36763fbcc55149bddfc5f37abdd132074bef53648b2117692257adc65f4e3c3e	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct iPad-sized review confirmed basic flat icon treatment; replaced with a professionally rendered isolated raster wall clock.
/images/assessment/rhyming/variants/og/dog-02.webp	1c051407e994f41db6e3df8268d3d6c1c01c9023deb522506f30c12a4cc11c09	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct iPad-sized review confirmed a scene-heavy dog card with house, hills, trees, and flowers competing with the assessed referent.
/images/assessment/digraphs/duck.webp	57af845d6d1aa288ffa630888faa2329698170091b81f7de54334afeb7cf7db3	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct iPad-sized review confirmed a scene-heavy pond card with water, plants, and landscape competing with the assessed referent.
/images/assessment/digraphs/watch.webp	7a768da0f8291199e33c35723a185dfc7157f80467ea892bff740ebd8adc6c18	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct iPad-sized review confirmed blurred low-detail clip-art treatment and an edge-to-edge horizontal composition.
/images/assessment/digraphs/wheel.webp	d5f8a253365097ac688d8794240dbb80710f590e24f1ab00a674c94d843be109	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct iPad-sized review confirmed inconsistent icon-like rendering and a visible floor or panel seam behind the wheel.
/images/assessment/release-media/gum-5d736380.webp	586d7cf193ec96562064267190904992a394c9e4dd1e603b213be18ea829b7b8	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a wrapped sweet or candy rather than objectively nameable chewing gum.
/images/assessment/rhyming/variants/ad/bad-02.webp	4772bffac11a6d24c0ee5ef205396663261ce23a85cd9104ceb883026d42fccd	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a plate of mouldy food; the subjective adjective bad is not a directly nameable pictured word.
/images/assessment/rhyming/variants/an/man-02.webp	e4aae95254f84256ec4bbf27e072d738cf7a94abb4a11b9a2f9ff2e337276cd4	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed an age-ambiguous person in a busy room; boy or child competes with man.
/images/assessment/rhyming/variants/bun/bun-02.webp	27d3bcfdbf4df262717ac084780321d7890a41953880cccb2fad8c9b38863335	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a child whose hairstyle is a bun, not the directly nameable bread item required by the rhyme set.
/images/assessment/rhyming/variants/ot/dot-02.webp	0bd67967fd0d2840288b83406ea2e08e96585f9535a6e0775fffe986d3b80285	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a child in a polka-dot dress inside a busy shop; dot is not the single pictured referent.
/images/assessment/blends/block.webp	487333440fc337834aca8639ee48d8ca2d49104996e48f0edba25a646a3bd3c1	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a red cube-like solid whose equally likely label is cube; block is not objectively forced.
/images/assessment/blends/brown.webp	a6f7c46deae8dae3ee751f9721d9762ba5e7a126b30b8f8ef4db566b7eb5e707	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a busy classroom scene dominated by a teddy bear; the adjective brown is not the single pictured referent.
/images/assessment/blends/clap.webp	7d7bdea5f51b33fd7163d7193d4e16a718f401bb915a4c8619ca593f6a0bb8b5	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a still of hands with motion marks; hands and clapping compete with the exact base-form action clap.
/images/assessment/blends/desk.webp	27ba637d5998b5eb603529079d8417db3587bc2644f58e3918ec3c6dcb703ff7	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a cluttered classroom table scene; table and school supplies compete with desk.
/images/assessment/blends/glue.webp	e88fc49981f4b42671eb118f3bfc3c985c085e850a345f6e308fe2a7d54be9a2	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a crowded craft table; bottle, shapes, scissors, and table compete with glue.
/images/assessment/blends/hand.webp	3f087733b533941066ef2c42290d3ebe7233be9151b96336ad3cc49e852ca2a7	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a whole child waving; child, girl, and wave compete with hand.
/images/assessment/blends/scarf.webp	5c5a758c834c7ebebc0f8997b5635b11b7357a342f55b9756704d507761d39db	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed folded striped fabric on a chair; blanket and cloth compete with scarf.
/images/assessment/blends/sled.webp	08b1ec8416d94e8ff3ced623a1a9e71e1a442937bbf65cda82e2cb1105a5317b	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a child sledding in a detailed snow scene; child and sledding compete with the object sled.
/images/assessment/digraphs/cloth.webp	fb44082c4ead4b22dde65ea07093ea6e6e986043fde401b6a35b7dd7233d97d8	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed folded fabric equally nameable as towel or blanket rather than the exact word cloth.
/images/assessment/digraphs/moth.webp	07415a0c84a8459e37a68f372731263dc4323bba322f50e2a41e73b839e68b4a	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a decorative winged insect on a leaf that young children can reasonably name butterfly.
/images/assessment/digraphs/photo.webp	d9c340f720c12f54c01df6ff671d37dcdaece7c4c2dd2ad7136f4d30e03ab07c	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed an empty standing frame with no photograph; frame is the directly visible object.
/images/assessment/digraphs/stick.webp	b2f542d59723981c900223043022639437ae8a5193bbde81fce2786f8a3518e8	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a large fallen branch or log in a detailed field; stick is not the sole objective label.
/images/assessment/digraphs/thread.webp	2223ad90e7ed93584f69a6529d03516788a2d37f8820c6d690c322646db96d70	phonics-hfw	DIRECT_VISUAL_CONFIRMED_PATH_FAILURE	Direct pixel review confirmed a spool, needle, and multiple strands; no single referent objectively forces thread.
