canonicalFile,canonicalPath,type,category,semanticKey,sourcePack,originalSourcePath,duplicateSourcePaths,status,preferredForLiteracyPath,currentlyUsedInProject,projectPathIfUsed,notes
literacypath-ixl-benchmark-roadmap.docx,source-manifests/literacypath-ixl-benchmark-roadmap.docx,doc,source-manifests,literacypath-ixl-benchmark-roadmap,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/LiteracyPath_IXL_Benchmark_Roadmap.docx,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/LiteracyPath_IXL_Benchmark_Roadmap.docx; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/LiteracyPath_IXL_Benchmark_Roadmap.docx; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/LiteracyPath_IXL_Benchmark_Roadmap.docx; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/LiteracyPath_IXL_Benchmark_Roadmap.docx; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/LiteracyPath_IXL_Benchmark_Roadmap.docx; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/LiteracyPath_IXL_Benchmark_Roadmap.docx,canonical,true,false,,Canonical exact asset; 6 duplicate source path(s) skipped.
asset-manifest.json,source-manifests/asset-manifest.json,json/doc,source-manifests,asset-manifest,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath/asset-manifest.json,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath/asset-manifest.json; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath/asset-manifest.json; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath/asset-manifest.json; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath/asset-manifest.json; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath/asset-manifest.json; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath/asset-manifest.json,canonical,true,false,,Canonical exact asset; 6 duplicate source path(s) skipped.
excellent-listening.mp3,audio/assessment/phrases/excellent-listening.mp3,audio,assessment/phrases,excellent-listening,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath/audio/phrases/excellent_listening.mp3,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath/audio/phrases/excellent_listening.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath/audio/phrases/excellent_listening.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath/audio/phrases/excellent_listening.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath/audio/phrases/excellent_listening.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath/audio/phrases/excellent_listening.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath/audio/phrases/excellent_listening.mp3,canonical,true,true,/Users/benjaminbowler/Desktop/LiteracyPath/public/audio/child-mode/phrases/excellent-listening-kimi3.mp3,Canonical exact asset; 6 duplicate source path(s) skipped.
great-job.mp3,audio/assessment/phrases/great-job.mp3,audio,assessment/phrases,great-job,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath/audio/phrases/great_job.mp3,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath/audio/phrases/great_job.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath/audio/phrases/great_job.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath/audio/phrases/great_job.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath/audio/phrases/great_job.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath/audio/phrases/great_job.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath/audio/phrases/great_job.mp3,canonical,true,true,/Users/benjaminbowler/Desktop/LiteracyPath/public/audio/child-mode/phrases/great-job-kimi3.mp3,Canonical exact asset; 6 duplicate source path(s) skipped.
listen-carefully.mp3,audio/assessment/phrases/listen-carefully.mp3,audio,assessment/phrases,listen-carefully,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath/audio/phrases/listen_carefully.mp3,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath/audio/phrases/listen_carefully.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath/audio/phrases/listen_carefully.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath/audio/phrases/listen_carefully.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath/audio/phrases/listen_carefully.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath/audio/phrases/listen_carefully.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath/audio/phrases/listen_carefully.mp3,canonical,true,true,/Users/benjaminbowler/Desktop/LiteracyPath/public/audio/child-mode/phrases/listen-carefully.mp3,Canonical exact asset; 6 duplicate source path(s) skipped.
tap-rumble.mp3,audio/assessment/phrases/tap-rumble.mp3,audio,assessment/phrases,tap-rumble,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath/audio/phrases/tap_rumble.mp3,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath/audio/phrases/tap_rumble.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath/audio/phrases/tap_rumble.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath/audio/phrases/tap_rumble.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath/audio/phrases/tap_rumble.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath/audio/phrases/tap_rumble.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath/audio/phrases/tap_rumble.mp3,canonical,true,true,/Users/benjaminbowler/Desktop/LiteracyPath/public/audio/child-mode/phrases/tap-rumble.mp3,Canonical exact asset; 6 duplicate source path(s) skipped.
try-again.mp3,audio/assessment/phrases/try-again.mp3,audio,assessment/phrases,try-again,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath/audio/phrases/try_again.mp3,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath/audio/phrases/try_again.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath/audio/phrases/try_again.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath/audio/phrases/try_again.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath/audio/phrases/try_again.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath/audio/phrases/try_again.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath/audio/phrases/try_again.mp3,canonical,true,true,/Users/benjaminbowler/Desktop/LiteracyPath/public/audio/child-mode/phrases/try-again-kimi3.mp3,Canonical exact asset; 6 duplicate source path(s) skipped.
which-word-matches.mp3,audio/assessment/phrases/which-word-matches.mp3,audio,assessment/phrases,which-word-matches,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath/audio/phrases/which_word_matches.mp3,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath/audio/phrases/which_word_matches.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath/audio/phrases/which_word_matches.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath/audio/phrases/which_word_matches.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath/audio/phrases/which_word_matches.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath/audio/phrases/which_word_matches.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath/audio/phrases/which_word_matches.mp3,canonical,true,true,/Users/benjaminbowler/Desktop/LiteracyPath/public/audio/child-mode/phrases/which-word-matches-kimi3.mp3,Canonical exact asset; 6 duplicate source path(s) skipped.
you-found-it.mp3,audio/assessment/phrases/you-found-it.mp3,audio,assessment/phrases,you-found-it,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath/audio/phrases/you_found_it.mp3,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath/audio/phrases/you_found_it.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath/audio/phrases/you_found_it.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath/audio/phrases/you_found_it.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath/audio/phrases/you_found_it.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath/audio/phrases/you_found_it.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath/audio/phrases/you_found_it.mp3,canonical,true,true,/Users/benjaminbowler/Desktop/LiteracyPath/public/audio/child-mode/phrases/you-found-it-kimi3.mp3,Canonical exact asset; 6 duplicate source path(s) skipped.
bag.mp3,audio/assessment/words/bag.mp3,audio,assessment/words,bag,Kimi_Agent_LiteracyPath assests2,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath/audio/words/bag.mp3,/Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath assests2/literacypath-assessment/audio/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath/audio/words/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets3/literacypath-assessment/audio/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath/audio/words/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 4/literacypath-assessment/audio/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath/audio/words/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 5/literacypath-assessment/audio/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath/audio/words/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 6/literacypath-assessment/audio/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath/audio/words/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assets 7/literacypath-assessment/audio/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath/audio/words/bag.mp3; /Users/benjaminbowler/Desktop/Kimi_Agent_LiteracyPath Assests 8/literacypath-assessment/audio/bag.mp3,canonical,true,true,/Users/benjaminbowler/Desktop/LiteracyPath/public/audio/child-mode/words/bag.mp3,Canonical exact asset; 13 duplicate source path(s) skipped.
